YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2019,NJ,New Jersey,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,397.3,397.3,,,392.4,402.2,Race/Ethnicity,Hispanic,,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN07,,AGEADJRATE,RACE,HIS,,,,
2015,2019,LA,Louisiana,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,287.0,287.0,,,271.5,303.2,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-92.44568007099969 31.31266064400046),22,CAN,CAN07,,CRDRATE,RACE,API,,,,
2015,2019,HI,Hawaii,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,158.3,158.3,,,154.2,162.5,Sex,Female,,,,,POINT (-157.85774940299973 21.304850435000446),15,CAN,CAN08,,CRDRATE,SEX,SEXF,,,,
2016,2020,NH,New Hampshire,US Cancer DVT,Cancer,"Breast cancer mortality among all females, underlying cause",,Number,Number,172.0,172.0,,,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN02,,NMBR,RACE,WHT,,,,
2016,2020,NJ,New Jersey,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,771.3,771.3,,,767.9,774.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,CAN,CAN07,,CRDRATE,RACE,WHT,,,,
2016,2020,DC,District of Columbia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,400.8,400.8,,,391.7,410.1,Sex,Female,,,,,POINT (-77.036871 38.907192),11,CAN,CAN07,,CRDRATE,SEX,SEXF,,,,
2016,2020,CO,Colorado,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,391.8,391.8,,,389.5,394.0,Overall,Overall,,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN07,,AGEADJRATE,OVERALL,OVR,,,,
2015,2019,AK,Alaska,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Crude Rate,458.5,458.5,,,441.5,475.9,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),2,CAN,CAN07,,CRDRATE,RACE,AIAN,,,,
2015,2019,KY,Kentucky,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,186.1,186.1,,,179.3,193.1,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,CAN,CAN08,,AGEADJRATE,RACE,BLK,,,,
2015,2019,PA,Pennsylvania,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,220.9,220.9,,,219.8,222.1,Overall,Overall,,,,,POINT (-77.86070029399963 40.79373015200048),42,CAN,CAN08,,CRDRATE,OVERALL,OVR,,,,
2015,2019,MI,Michigan,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,231.0,231.0,,,229.5,232.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN08,,CRDRATE,RACE,WHT,,,,
2016,2020,NH,New Hampshire,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,190.8,190.8,,,186.2,195.5,Sex,Female,,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN08,,CRDRATE,SEX,SEXF,,,,
2016,2020,ID,Idaho,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,169.7,169.7,,,165.9,173.5,Sex,Male,,,,,POINT (-114.3637300419997 43.682630005000476),16,CAN,CAN08,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,NH,New Hampshire,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,464.2,464.2,,,457.7,470.8,Sex,Female,,,,,POINT (-71.50036091999965 43.65595011300047),33,CAN,CAN07,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,MD,Maryland,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,504.0,504.0,,,500.5,507.6,Sex,Male,,,,,POINT (-76.60926011099963 39.29058096400047),24,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
